Index,Name,Liga,Marktwert,Land,Position,TimeL,TimeI,TimeSum,xGoalL,xGoalI,xGoalSum,Save%,Goals,Assists,Age,GCA,Team,Gelb,Rot,GoalValue
30,Jamal Musiala,Bundesliga,120000000,Deutschland,Mittelfeld,1755,877,2632,"7,9","2,1",10,0,12,6,21,24,Bayern Munich,2,0,2
31,Robert Andrich,Bundesliga,17000000,Deutschland,Mittelfeld,1690,760,2450,"1,7","0,4","2,1",0,5,3,29,9,Bayer 04 Leverkusen,4,0,"2,9"
32,Niklas Füllkrug,Bundesliga,15000000,Deutschland,Sturm,2392,1036,3428,"12,9","5,4","18,3",0,15,10,31,19,Borussia Dortmund,0,0,"-3,3"
33,Koen Casteels,Bundesliga,6000000,Belgien,Torwart,2250,0,2250,0,0,0,"67,8",0,0,31,0,Wolfsburg,2,0,0
34,Timothy Castagne,Premiere League ,17000000,Belgien,Verteidiger,2634,0,2634,"1,6",0,"1,6",0,1,3,28,2,Fulham,3,0,"-0,6"
35,Arthur Theate,Ligue 1,20000000,Belgien,Verteidiger,2296,641,2937,"1,9","0,3","2,2",0,2,0,24,4,Stade Rennes,4,0,"-0,2"
36,Wout Faes,Premiere League ,20000000,Belgien,Verteidiger,3825,0,3825,2,0,2,0,2,0,26,4,Leicester City,5,0,0
37,Jan Vertonghen,Jupiler Pro League,1500000,Belgien,Verteidiger,2425,0,2425,"1,2",0,"1,2",0,3,1,37,5,RSC Anderlecht,5,0,"1,8"
38,Youri Tielemans,Premiere League ,25000000,Belgien,Mittelfeld,1622,749,2371,"1,4","0,7","2,1",0,3,7,27,17,Aston Villa,3,0,"0,9"
39,Orel Mangala,Ligue 1,20000000,Belgien,Mittelfeld,398,1563,1961,1,"0,8","1,8",0,3,0,26,3,Lyon,0,0,"1,2"
40,Kevin De Bruyne,Premiere League ,50000000,Belgien,Mittelfeld,1221,201,1422,"2,4","1,2","3,6",0,6,12,32,16,Manchester City,2,0,"2,4"
41,Romelu Lukaku,Serie A,30000000,Belgien,Mittelfeld,2641,1076,3717,"9,8","4,8","14,6",0,20,4,31,13,AS Rom,5,1,"5,4"
42,Johan Bakayoko,Eredivisie,45000000,Belgien,Sturm,2493,649,3142,"8,7","1,2","9,9",0,13,10,21,16,PSV Eindhoven,1,0,"3,1"
43,Jeremy Doku,Premiere League ,65000000,Belgien,Sturm,1706,304,2010,"3,1","1,3","4,4",0,4,9,22,17,Manchester City,3,0,"-0,4"
44,Jordan Pickford,Premiere League ,22000000,England,Torwart,3420,0,3420,0,0,0,"73,9",0,0,30,0,FC Everton,5,0,0
45,Harry Maguire,Premiere League ,18000000,England,Verteidiger,1653,309,1962,2,"0,3","2,3",0,3,2,31,4,Manchester United,3,0,"0,7"
46,John Stones,Premiere League ,38000000,England,Verteidiger,1064,341,1405,1,0,1,0,1,1,30,3,Manchester City,2,0,0
47, Kyle Walker,Premiere League ,13000000,England,Verteidiger,2767,503,3270,"0,4","0,2","0,6",0,0,4,34,11,Manchester City,2,0,"-0,6"
48,Luke Shaw,Premiere League ,32000000,England,Verteidiger,959,135,1094,0,"0,1","0,1",0,0,1,28,1,Manchester United,6,0,"-0,1"
49,Jude Bellingham,La Liga,180000000,England,Mittelfeld,2315,989,3304,"11,1",3,"14,1",0,23,11,20,20,Real Madrid,2,0,"8,9"
50,Declan Rice,Premiere League ,120000000,England,Mittelfeld,3225,838,4063,"3,3","0,2","3,5",0,7,0,25,13,FC Arsenal,5,0,"3,5"
51,Cole Palmer,Premiere League ,80000000,England,Mittelfeld,2618,0,2618,"18,2",0,"18,2",0,22,11,22,26,FC Chelsea,7,0,"3,8"
52,Bukayo Saka,Premiere League ,140000000,England,Mittelfeld,2919,720,3639,"15,5","1,6","17,1",0,20,13,22,27,FC Arsenal,4,0,"2,9"
53,James Maddison,Premiere League ,70000000,England,Sturm,2135,0,2135,"6,4",0,"6,4",0,4,9,27,19,Tottenham,5,0,"-2,4"
54,Harry Kane,Bundesliga,100000000,England,Sturm,2839,1062,3901,"30,6","6,7","37,3",0,44,12,30,18,Bayern Munich,2,0,"6,7"
55,Mike Maignan,Serie A,38000000,Frankreich,Torwart,2610,0,2610,0,0,0,"74,2",0,0,28,0,AC Mailand,1,1,0
56,Dayot Upamecano,Bundesliga,45000000,Frankreich,Verteidiger,1762,499,2261,"1,7","0,3",2,0,1,0,25,3,Bayern Munich,1,1,-1
57,Ibrahima Konaté,Premiere League ,45000000,Frankreich,Verteidiger,1574,500,2074,"0,7",0,"0,7",0,0,0,25,1,FC Liverpool,3,1,"-0,7"
58,Theo Hernandez,Serie A,60000000,Frankreich,Verteidiger,2791,1080,3871,"4,9",1,"5,9",0,5,8,26,19,AC Mailand,11,1,"-0,9"
59,Benjamin Pavard,Serie A,50000000,Frankreich,Verteidiger,1672,480,2152,"0,7",0,"0,7",0,0,2,28,2,Inter Mailand,6,0,"-0,7"
60,Aurelien Tchouameni,La Liga,90000000,Frankreich,Mittelfeld,1987,603,2590,"1,3","0,2","1,5",0,3,1,24,12,Real Madrid,3,0,"1,5"
61,Adrien Rabiot,Serie A,35000000,Frankreich,Mittelfeld,2651,0,2651,"3,5",0,"3,5",0,5,3,29,5,Juventus Turin,8,0,"1,5"
62,Antoine Griezmann,La Liga,25000000,Frankreich,Mittelfeld,2644,818,3462,"12,3","4,2","16,5",0,22,7,33,15,Atlético Madrid,5,0,"5,5"
63,Kylian Mbappe,Ligue 1,180000000,Frankreich,Mittelfeld,2158,1080,3238,21,8,29,0,35,7,25,21,Paris SG,4,0,6
64,Ousmane Dembele,Ligue 1,60000000,Frankreich,Mittelfeld,1506,951,2457,"4,4",3,"7,4",0,5,9,27,26,Paris SG,0,0,"-2,4"
65,Olivier Giroud,Serie A,3000000,Frankreich,Sturm,2363,950,3313,"14,2","4,3","18,5",0,17,10,30,15,AC Mailand,1,1,"-1,5"
66,Gianluigi Donnarumma,Ligue 1,40000000,Italien,Torwart,2170,0,2170,0,0,0,"80,18",0,0,25,0,Paris SG,3,1,0
67,Alessandro Buongiorno,Serie A,35000000,Italien,Verteidiger,2527,0,2527,"1,6",0,"1,6",0,3,0,25,1,FC Turin,7,0,"1,4"
68,Alessandro Bastoni,Serie A,70000000,Italien,Verteidiger,2268,500,2768,"1,2","0,3","1,5",0,1,3,25,8,Inter Mailand,5,0,"-0,5"
69,Federico Dimarco,Serie A,50000000,Italien,Verteidiger,2077,364,2441,"2,9","0,5","3,4",0,6,6,26,14,Inter Mailand,0,0,"2,6"
70,Giovanni Di Lorenzo,Serie A,15000000,Italien,Verteidiger,3234,720,3954,"3,1","0,4","3,5",0,2,7,30,12,SSC Neapel,6,0,"-1,5"
71,Jorginho,Premiere League ,12000000,Italien,Mittelfeld,921,532,1453,"0,1","0,8","0,9",0,1,2,32,6,FC Arsenal,1,0,"0,1"
72,Nicolo Barella,Serie A,80000000,Italien,Mittelfeld,2846,468,3314,"5,1","0,9",6,0,2,4,27,23,Inter Mailand,7,0,-4
73,Davide Frattesi,Serie A,35000000,Italien,Mittelfeld,955,452,1407,"7,1","0,9",8,0,7,5,24,9,Inter Mailand,1,0,-1
74,Mateo Retegui,Serie A,16000000,Italien,Sturm,2216,0,2216,"5,8",0,"5,8",0,7,2,25,4,Genua CFC,5,0,"1,2"
75,Federico Chiesa,Serie A,35000000,Italien,Sturm,2197,0,2197,"6,4",0,"6,4",0,9,2,26,9,Juventus Turin,1,0,"2,6"
76,Riccardo Orsolini,Serie A,16000000,Italien,Sturm,1792,0,1792,"7,4",0,"7,4",0,10,2,27,7,FC Bologna,2,0,"2,6"
77,Dominik Livakovic,Süper Lig,11000000,Kroatien,Torwart,3059,0,3059,0,0,0,"72,07",0,0,29,0,Fenerbahce,1,0,0
79,Josko Gvardiol,Premiere League ,75000000,Kroatien,Verteidiger,2328,569,2897,"3,1","0,1","3,2",0,5,2,22,10,Manchester City,3,0,"1,8"
80,Josip Sutalo,Eredivisie,15000000,Kroatien,Verteidiger,1980,864,2844,"1,3",0,"1,3",0,1,0,24,2,Ajax Amsterdam,2,0,"-0,3"
81,Josip Stanisic,Bundesliga,28000000,Kroatien,Verteidiger,1261,784,2045,"0,8","0,2",1,0,4,5,24,9,Bayer 04 Leverkusen,3,0,3
82,Borna Sosa,Eredivisie,7500000,Kroatien,Verteidiger,894,725,1619,"0,1","0,1","0,2",0,0,5,26,6,Ajax Amsterdam,1,0,"-0,2"
83,Luka Modric,La Liga,8000000,Kroatien,Mittelfeld,1688,420,2108,"1,3","1,1","2,4",0,2,6,38,15,Real Madrid,0,0,"-0,4"
84,Mateo Kovacic,Premiere League ,30000000,Kroatien,Mittelfeld,1551,433,1984,"1,3","0,4","1,7",0,1,0,30,7,Manchester City,4,0,"-0,7"
85,Marcelo Brozovic,Saudi Pro League,16000000,Kroatien,Mittelfeld,2497,0,2497,4,0,4,0,4,8,31,0,Al-Nassr,4,0,0
86,Andrej Kramaric,Bundesliga,5000000,Kroatien,Sturm,2199,0,2199,"11,1",0,"11,1",0,15,6,32,16,TSG Hoffenheim,4,0,"3,9"
87,Luka Ivanusec,Eredivisie,12000000,Kroatien,Sturm,1352,286,1638,"3,2","0,1","3,3",0,4,7,25,11,Feyenoord,0,0,"0,7"
88,Bruno Petkovic,HNL,5000000,Kroatien,Sturm,2215,605,2820,6,7,13,0,18,5,29,3,Dinamo Zagreb,4,0,5
89,Bart Verbruggen,Premiere League ,18000000,Niederlande,Torwart,1890,0,1890,0,0,0,"75,9375",0,0,21,0,Brighton,3,0,0
90,Virgil van Dijk,Premiere League ,30000000,Niederlande,Verteidiger,3177,336,3513,"2,8","0,3","3,1",0,2,2,32,5,Liverpool,3,1,"-1,1"
91,Nathan Aké,Premiere League ,40000000,Niederlande,Verteidiger,2042,384,2426,"2,5","0,9","3,4",0,2,2,29,7,Manchester City,0,0,"-1,4"
92,Jeremie Frimpong,Bundesliga,50000000,Niederlande,Verteidiger,2251,640,2891,"8,2","3,7","11,9",0,12,7,23,11,Bayer 04 Leverkusen,6,0,"0,1"
93,Denzel Dumfries,Serie A,24000000,Niederlande,Verteidiger,1639,320,1959,"2,3","0,9","3,2",0,4,5,28,9,Inter Mailand,2,1,"0,8"
94,Frenkie de Jong,La Liga,70000000,Niederlande,Mittelfeld,1634,393,2027,"0,7",0,"0,7",0,2,0,27,10,FC Barcelona,7,0,"1,3"
95,Ryan Gravenberch,Premiere League ,35000000,Niederlande,Mittelfeld,1121,346,1467,2,"1,7","3,7",0,3,1,22,1,Liverpool,0,0,"-0,7"
96,Tijjani Reijnders,Serie A,30000000,Niederlande,Mittelfeld,2820,890,3710,"3,2","0,6","3,8",0,4,3,25,21,AC Mailand,8,0,"0,2"
97,Xavi Simons,Bundesliga,80000000,Niederlande,Sturm,2653,596,3249,"8,3","1,3","9,6",0,10,13,21,24,RB Leipzig,9,1,"0,4"
98,Cody Gakpo,Premiere League ,50000000,Niederlande,Sturm,1649,637,2286,9,"3,4","12,4",0,12,6,25,13,Liverpool,1,0,"-0,4"
99,Memphis Depay,La Liga,12000000,Niederlande,Sturm,893,104,997,"5,8",1,"6,8",0,5,1,30,3,Atlético Madrid,2,0,"-1,8"
100,Alexander Schlager,ÖBundesliga,3000000,Österreich,Torwart,2520,0,2520,0,0,0,"74,22",0,0,28,0,RB Salzburg,4,0,0
101,Philipp Lienhart,Bundesliga,15000000,Österreich,Verteidiger,1265,412,1677,"1,1","0,2","1,3",0,1,1,27,1,SC Freiburg,3,0,"-0,3"
102,Maximilian Wöber,Bundesliga,10000000,Österreich,Verteidiger,2066,0,2066,"1,3",0,"1,3",0,2,3,26,7,Gladbach,2,1,"0,7"
103,Kevin Danso,Ligue 1,25000000,Österreich,Verteidiger,2655,630,3285,"1,8","0,7","2,5",0,1,0,25,4,RC Lens,6,0,"-1,5"
104,Stefan Posch,Serie A,14000000,Österreich,Verteidiger,2409,0,2409,"1,2",0,"1,2",0,1,2,27,4,FC Bologna,7,0,"-0,2"
105,Konrad Laimer,Bundesliga,30000000,Österreich,Mittelfeld,1772,772,2544,1,"0,1","1,1",0,0,4,27,10,Bayern Munich,3,0,"-1,1"
106,Nicolas Seiwald,Bundesliga,16000000,Österreich,Mittelfeld,718,272,990,0,0,0,0,0,2,23,3,RB Leipzig,1,0,0
107,Christoph Baumgartner,Bundesliga,18000000,Österreich,Mittelfeld,1158,118,1276,"3,7","0,8","4,5",0,5,1,24,6,RB Leipzig,3,0,"0,5"
108,Marcel Sabitzer,Bundesliga,20000000,Österreich,Sturm,1961,928,2889,"3,6","1,2","4,8",0,5,8,30,16,Borussia Dortmund,2,0,"0,2"
109,Romano Schmid,Bundesliga,10000000,Österreich,Sturm,2601,0,2601,"5,2",0,"5,2",0,4,6,24,16,Bremen,5,0,"-1,2"
110,Marko Arnautovic,Serie A,4000000,Österreich,Sturm,801,192,993,5,"2,9","7,9",0,7,3,35,3,Inter Mailand,0,0,"-0,9"
111,Diogo Costa,Liga Portugal,45000000,Portugal,Torwart,2945,0,2945,0,0,0,"70,05",0,0,24,0,FC Porto,0,1,0
112,Ruben Dias,Premiere League ,80000000,Portugal,Verteidiger,2559,765,3324,"1,4","0,7","2,1",0,0,0,27,6,Manchester City,0,0,"-2,1"
113,Goncalo Inacio,Liga Portugal,40000000,Portugal,Verteidiger,2482,685,3167,"1,1","1,5","2,6",0,4,0,22,11,Sporting,6,1,"1,4"
114,João Cancelo,La Liga,30000000,Portugal,Verteidiger,2503,808,3311,"1,6","0,6","2,2",0,4,5,30,11,FC Barcelona,7,0,"1,8"
115,Diogo Dalot,Premiere League ,35000000,Portugal,Verteidiger,3174,463,3637,"1,7","0,1","1,8",0,2,3,25,8,Manchester United,4,1,"0,2"
116,Danilo Pereira,Ligue 1,8000000,Portugal,Mittelfeld,1995,158,2153,"1,4",0,"1,4",0,0,0,32,2,Paris SG,2,0,"-1,4"
117,Ruben Neves,Saudi Pro League,32000000,Portugal,Mittelfeld,2683,0,2683,3,0,3,0,3,11,27,3,Al-Hilal,8,0,0
118,Bruno Fernandes,Premiere League ,70000000,Portugal,Mittelfeld,3118,540,3658,10,"1,6","11,6",0,12,10,29,22,Manchester United,9,0,"0,4"
119,Rafael Leao,Serie A,70000000,Portugal,Mittelfeld,2512,909,3421,10,"3,9","13,9",0,13,13,24,33,AC Mailand,5,0,"-0,9"
120,Cristiano Ronaldo,Saudi Pro League,15000000,Portugal,Sturm,2645,0,2645,35,0,35,0,35,11,39,10,Al-Nassr,5,1,0
121,Joao Felix,La Liga,30000000,Portugal,Sturm,1540,369,1909,"8,7","1,6","10,3",0,10,4,24,11,FC Barcelona,5,0,"-0,3"
122,Horaţiu Moldovan,La Liga,2500000,Rumänien,Torwart,2070,0,2070,0,0,0,"75,5",0,0,26,0,Atlético Madrid,0,0,0
123,Radu Drăgușin,Premiere League ,25000000,Rumänien,Verteidiger,2139,0,2139,"1,1",0,"1,1",0,2,1,22,1,Tottenham,2,0,"0,9"
124,Andrei Burcă,Saudi Pro League,3000000,Rumänien,Verteidiger,2379,0,2379,6,0,6,0,6,1,31,1,Al-Okhdood,3,1,0
125,Andrei Rațiu,La Liga,1500000,Rumänien,Verteidiger,630,0,630,"0,3",0,"0,3",0,0,0,25,0,Rayo Vallecano,1,0,"-0,3"
126,Nicuşor Bancu,SuperLiga,1500000,Rumänien,Verteidiger,3135,0,3135,2,0,2,0,2,9,31,1,CS U Craiova,12,0,0
127,Răzvan Marin,Serie A,2700000,Rumänien,Mittelfeld,1818,0,1818,"1,1",0,"1,1",0,0,3,28,6,FC Empoli,3,0,"-1,1"
128,Deian Sorescu,Süper Lig,1000000,Rumänien,Mittelfeld,1720,192,1912,"0,3",0,"0,3",0,5,3,26,0,Gaziantep FK,3,0,"4,7"
129,Florinel Coman,SuperLiga,7000000,Rumänien,Mittelfeld,2575,0,2575,15,0,15,0,18,10,26,5,FCSB,8,2,3
130,Ianis Hagi,La Liga,700000,Rumänien,Mittelfeld,804,0,804,"2,8",0,"2,8",0,0,2,25,1,Alavés,3,0,"-2,8"
131,Denis Alibec,Stars League,700000,Rumänien,Mittelfeld,1786,0,1786,8,0,8,0,8,6,33,3,Muaither SC,6,0,0
132,Daniel Birligea,SuperLiga,1600000,Rumänien,Sturm,2498,0,2498,14,0,14,0,14,6,24,1,CFR Cluj,6,0,0
133,Angus Gunn,Championship,2500000,Schottland,Torwart,3541,0,3541,0,0,0,"71,1",0,0,28,0,Norwich City,1,0,0
134,Andrew Robertson,Premiere League ,30000000,Schottland,Verteidiger,1693,303,1996,"1,9","0,4","2,3",0,3,2,30,7,Liverpool,2,0,"0,7"
135,Grant Hanley,Championship,900000,Schottland,Verteidiger,550,0,550,"0,1",0,"0,1",0,0,0,32,1,Norwich City,2,0,"-0,1"
136,Kieran Tierney,La Liga,12000000,Schottland,Verteidiger,1238,66,1304,"0,2","0,1","0,3",0,0,2,27,3,Real Sociedad,1,0,"-0,3"
137,Anthony Ralston,Premiership,1800000,Schottland,Verteidiger,903,0,903,0,0,0,0,0,2,25,1,Celtic Glasgow,1,0,0
