Index,Name,Liga,Marktwert,Land,Position,TimeL,TimeI,TimeSum,xGoalL,xGoalI,xGoalSum,Save%,Goals,Assists,Age,GCA,Team,Gelb,Rot,GoalValue
174,Andraz Sporar,Stoiximan Super League,4000000,Slowenien,Sturm,1138,137,1275,7,0,7,0,9,1,30,0,Panathinaikos,2,0,2
175,Predrag Rajkovic,LaLiga,10000000,Serbien,Torwart,3240,0,3240,0,0,0,"71,7",0,0,28,0,RCD Mallorca,2,0,0
176,Milos Veljkovic,Bundesliga,4500000,Serbien,Verteidiger,1920,0,1920,"1,7",0,"1,7",0,2,1,28,3,Bremen,2,0,"0,3"
177,Nikola Milenkovic,Serie A,15000000,Serbien,Verteidiger,2510,825,3335,"0,4","0,7","1,1",0,0,1,26,3,AC Florenz,8,0,"-1,1"
178,Strahinja Pavlovic,ÖBundesliga,25000000,Serbien,Verteidiger,2287,493,2780,0,0,0,0,3,3,23,0,RB Salzburg,12,1,3
179,Sergej Milinkovic Savic,Saudi Pro League,30000000,Serbien,Mittelfeld,2442,0,2442,11,0,11,0,11,11,29,3,Al-Hilal,5,1,0
180,Nemanja Maksimovic,LaLiga,6000000,Serbien,Mittelfeld,3265,0,3265,"5,5",0,"5,5",0,4,0,29,5,FC Getafe,4,0,"-1,5"
181,Nemanja Gudelj,LaLiga,4000000,Serbien,Mittelfeld,1742,540,2282,"0,8","0,4","1,2",0,3,1,32,3,FC Sevilla,8,0,"1,8"
182,Filip Kostic,Serie A,6500000,Serbien,Mittelfeld,1815,0,1815,"0,7",0,"0,7",0,0,4,31,5,Juventus Turin,2,0,"-0,7"
183,Andrija Zivkovic,Stoiximan Super League,8000000,Serbien,Mittelfeld,1809,652,2461,10,0,10,0,13,8,27,3,PAOK Saloniki,4,0,3
184,Sasa Lukic,Premier League,10000000,Serbien,Mittelfeld,1122,0,1122,"1,6",0,"1,6",0,1,0,27,0,FC Fulham,3,0,"-0,6"
185,Dusan Vlahovic,Serie A,65000000,Serbien,Sturm,2307,0,2307,"16,6",0,"16,6",0,16,4,24,9,Juventus Turin,6,1,"-0,6"
186,Unai Simon,LaLiga,25000000,Spanien,Torwart,3184,0,3184,0,0,0,"73,8",0,0,26,0,Athletic Bilbao,0,0,0
187,Aymeric Laporte,Saudi Pro League,20000000,Spanien,Verteidiger,2392,0,2392,0,0,0,0,4,1,30,0,Al-Nassr,5,1,4
188,Robin Le Normand,LaLiga,40000000,Spanien,Verteidiger,2469,572,3041,1,"0,7","1,7",0,2,0,27,1,Real Sociedad,15,0,"0,3"
189,Daniel Carvajal,LaLiga,12000000,Spanien,Verteidiger,2171,846,3017,"1,7","0,6","2,3",0,5,4,32,8,Real Madrid,6,1,"2,7"
190,Marc Cucurella,Premier League,25000000,Spanien,Verteidiger,1782,0,1782,"1,1",0,"1,1",0,0,2,25,3,FC Chelsea,10,0,"-1,1"
191,Rodri,Premier League,120000000,Spanien,Mittelfeld,2931,696,3627,"4,1","0,8","4,9",0,9,11,27,29,Manchester City,10,1,"4,1"
192,Mikel Merino,LaLiga,50000000,Spanien,Mittelfeld,2482,630,3112,"3,3","2,1","5,4",0,7,4,27,9,Real Sociedad,12,0,"1,6"
193,Fabian Ruiz,Ligue 1,30000000,Spanien,Mittelfeld,1197,619,1816,2,"1,4","3,4",0,1,5,28,10,Paris SG,5,0,"-2,4"
194,Dani Olmo,Bundesliga,50000000,Spanien,Sturm,1449,181,1630,"3,3","0,9","4,2",0,5,5,26,9,RB Leipzig,0,0,"0,8"
195,Ferran Torres,LaLiga,35000000,Spanien,Sturm,1211,378,1589,"5,5","1,6","7,1",0,10,3,24,12,FC Barcelona,4,0,"2,9"
196,Alvaro Morata,LaLiga,20000000,Spanien,Sturm,1904,665,2569,"13,8","4,6","18,4",0,20,4,31,11,Atlético Madrid,4,1,"1,6"
197,Ugurcan Çakir,Süper Lig,8000000,Türkei,Torwart,3150,0,3150,0,0,0,"69,9",0,0,28,0,Trabzonspor,4,0,0
198,Abdülkerim Bardakci,Süper Lig,9000000,Türkei,Verteidiger,2213,666,2879,2,"0,3","2,3",0,5,0,29,1,Galatasaray,5,0,"2,7"
199,Merih Demiral,Saudi Pro League,16000000,Türkei,Verteidiger,1591,0,1591,1,0,1,0,1,1,26,0,Al-Ahli,4,1,0
200,Ferdi Kadioglu,Süper Lig,21000000,Türkei,Verteidiger,3326,520,3846,"0,3",0,"0,3",0,1,4,24,1,Fenerbahce,3,0,"0,7"
